point_id,lat,lon,bearing,arm_direction,intersection_idx
pt_000000,39.94602466610122,-75.16834059122417,180,0,0
pt_000001,39.94596818222507,-75.16827137603228,270,90,0
pt_000002,39.945914908258295,-75.16834476140964,0,180,0
pt_000003,39.94597139209026,-75.16841397660828,90,270,0
pt_000004,39.94610676428983,-75.16890040356915,180,0,1
pt_000005,39.94605028075079,-75.16883118782815,270,90,1
pt_000006,39.94599700642563,-75.16890457285517,0,180,1
pt_000007,39.94605348992046,-75.16897378860291,90,270,1
pt_000008,39.94590865142625,-75.16731096511701,180,0,2
pt_000009,39.94585216693002,-75.16724175089941,270,90,2
pt_000010,39.945798893622516,-75.16731513695888,0,180,2
pt_000011,39.94585537807455,-75.16738435118323,90,270,2
pt_000012,39.94583282189981,-75.16676687683601,180,0,3
pt_000013,39.94577633707593,-75.16669766314806,270,90,3
pt_000014,39.94572306411675,-75.1667710495523,0,180,3
pt_000015,39.94577954889645,-75.16684026324698,90,270,3
pt_000016,39.94573708115665,-75.16608028483535,180,0,4
pt_000017,39.9456805959193,-75.16601107181582,270,90,4
pt_000018,39.94562732339972,-75.16608445865504,0,180,4
pt_000019,39.94568380859287,-75.1661536716813,90,270,4
pt_000020,39.94668034528776,-75.1681971393135,180,0,5
pt_000021,39.946623861325136,-75.16812792357281,270,90,5
pt_000022,39.946570587451845,-75.16820130977096,0,180,5
pt_000023,39.94662707137025,-75.16827052551841,90,270,5
pt_000024,39.94561829852365,-75.16843095475012,180,0,6
pt_000025,39.94556181470195,-75.16836173989712,270,90,6
pt_000026,39.945508540676315,-75.16843512476464,0,180,6
pt_000027,39.94556502445383,-75.16850433962438,90,270,6
pt_000028,39.94542495301104,-75.16847341907362,180,0,7
pt_000029,39.94536846921491,-75.16840420438233,270,90,7
pt_000030,39.945315195161626,-75.16847758900767,0,180,7
pt_000031,39.94537167891355,-75.16854680370574,90,270,7
pt_000032,39.945119937619914,-75.16853678842907,180,0,8
pt_000033,39.945063453861984,-75.16846757399584,270,90,8
pt_000034,39.94501017976735,-75.16854095824202,0,180,8
pt_000035,39.94506666348107,-75.168610172682,90,270,8
pt_000036,39.94469431367387,-75.16863260737635,180,0,9
pt_000037,39.944637829973686,-75.16856339329709,270,90,9
pt_000038,39.944584555816675,-75.16863677700837,0,180,9
pt_000039,39.94464103947263,-75.16870599109436,90,270,9
pt_000040,39.94538504492201,-75.16687357519368,180,0,10
pt_000041,39.94532856016243,-75.16680436187323,270,90,10
pt_000042,39.94527528713384,-75.16687774771007,0,180,10
pt_000043,39.945331771849226,-75.16694696103725,90,270,10
pt_000044,39.944941240605644,-75.16697111798752,180,0,11
pt_000045,39.94488475590486,-75.16690190503812,270,90,11
pt_000046,39.944831482812724,-75.16697529031904,0,180,11
pt_000047,39.94488796746931,-75.16704450327519,90,270,11
pt_000048,39.94452297774128,-75.16707148025321,180,0,12
pt_000049,39.944466493100975,-75.16700226764652,270,90,12
pt_000050,39.944413219943556,-75.16707565239693,0,180,12
pt_000051,39.94446970453966,-75.16714486501039,90,270,12
pt_000052,39.945536418646086,-75.1680820002901,180,0,13
pt_000053,39.945479934614234,-75.16801278581067,270,90,13
pt_000054,39.94542666081193,-75.16808617086339,0,180,13
pt_000055,39.945483144799574,-75.16815538534956,90,270,13
pt_000056,39.945483485188255,-75.16766479360304,180,0,14
pt_000057,39.94542700090517,-75.16759557952443,270,90,14
pt_000058,39.94537372736997,-75.16766896484714,0,180,14
pt_000059,39.94543021160887,-75.16773817893251,90,270,14
pt_000060,39.94544581362202,-75.16732862869269,180,0,15
pt_000061,39.94538932913648,-75.16725941493196,270,90,15
pt_000062,39.94533605581653,-75.16733280047761,0,180,15
pt_000063,39.9453925402579,-75.16740201424507,90,270,15
pt_000064,39.94561685288737,-75.17004828123288,180,0,16
pt_000065,39.94556037003968,-75.16997906503663,270,90,16
pt_000066,39.94550709497805,-75.17005244863425,0,180,16
pt_000067,39.94556357778155,-75.17012166483723,90,270,16
pt_000068,39.94529576512763,-75.1661742292238,180,0,17
pt_000069,39.94523927994691,-75.16610501657578,270,90,17
pt_000070,39.9451860073661,-75.16617840286462,0,180,17
pt_000071,39.94524249250262,-75.16624761551937,90,270,17
pt_000072,39.94530088213413,-75.16770082841407,180,0,18
pt_000073,39.94524439787274,-75.16763161449154,270,90,18
pt_000074,39.945191124314036,-75.16770499958875,0,180,18
pt_000075,39.945247608531204,-75.16777421351803,90,270,18
pt_000076,39.9450373151038,-75.1677539296439,180,0,19
pt_000077,39.944980830874414,-75.16768471594575,270,90,19
pt_000078,39.94492755728107,-75.16775810071658,0,180,19
pt_000079,39.94498404146623,-75.16782731442149,90,270,19
pt_000080,39.944853109438526,-75.16627094264555,180,0,20
pt_000081,39.9447966243161,-75.16620173036812,270,90,20
pt_000082,39.94474335167225,-75.16627511610292,0,180,20
pt_000083,39.944799836750484,-75.16634432838711,90,270,20
pt_000084,39.9453315199135,-75.17010498130288,180,0,21
pt_000085,39.94527503709999,-75.17003576535022,270,90,21
pt_000086,39.94522176200137,-75.17010914859516,0,180,21
pt_000087,39.94527824477067,-75.17017836455454,90,270,21
pt_000088,39.94472837747125,-75.16533973193648,180,0,22
pt_000089,39.944671891788026,-75.16527052056038,270,90,22
pt_000090,39.94461861974041,-75.16534390689068,0,180,22
pt_000091,39.94467510537941,-75.16541311827352,90,270,22
pt_000092,39.94721079231391,-75.16970812755422,180,0,23
pt_000093,39.94715430926122,-75.16963891001672,270,90,23
pt_000094,39.94710103442134,-75.16971229560295,0,180,23
pt_000095,39.94715751742981,-75.16978151314719,90,270,23
pt_000096,39.94692670648169,-75.16977576364829,180,0,24
pt_000097,39.94687022346977,-75.16970654634402,270,90,24
pt_000098,39.94681694858587,-75.1697799315703,0,180,24
pt_000099,39.946873431553605,-75.16984914888133,90,270,24
pt_000100,39.946225899697716,-75.16992572550554,180,0,25
pt_000101,39.94616941677616,-75.16985650879064,270,90,25
pt_000102,39.94611614179452,-75.1699298931423,0,180,25
pt_000103,39.946172624671874,-75.16999910986392,90,270,25
pt_000104,39.94588084997258,-75.16999351104462,180,0,26
pt_000105,39.94582436709189,-75.16992429462493,270,90,26
pt_000106,39.94577109206597,-75.16999767855069,0,180,26
pt_000107,39.94582757490247,-75.17006689497711,90,270,26
pt_000108,39.94569984528355,-75.1700358999489,180,0,27
pt_000109,39.945643362428385,-75.16996668367838,270,90,27
pt_000110,39.94559008737492,-75.17004006737538,0,180,27
pt_000111,39.94564657018585,-75.17010928365262,90,270,27
pt_000112,39.94488202239769,-75.17020648479291,180,0,28
pt_000113,39.94482553964535,-75.17013726921382,270,90,28
pt_000114,39.94477226448064,-75.17021065189363,0,180,28
pt_000115,39.94482874718878,-75.17027986747944,90,270,28
pt_000116,39.946417249198525,-75.17148811639504,180,0,29
pt_000117,39.94636076721791,-75.17141889818613,270,90,29
pt_000118,39.94630749123594,-75.17149228151919,0,180,29
pt_000119,39.94636397317236,-75.17156149973484,90,270,29
pt_000120,39.946607030571535,-75.17306901340667,180,0,30
pt_000121,39.946550549543,-75.17299979368997,270,90,30
pt_000122,39.946497272548875,-75.17307317598822,0,180,30
pt_000123,39.946553753533195,-75.17314239571164,90,270,30
pt_000124,39.94636236707879,-75.17105601423884,180,0,31
pt_000125,39.94630588483795,-75.17098679644512,270,90,31
pt_000126,39.94625260913262,-75.17106018005778,0,180,31
pt_000127,39.94630909132927,-75.17112939785821,90,270,31
pt_000128,39.94615708888874,-75.16930558156065,180,0,32
pt_000129,39.946100605593706,-75.16923636543147,270,90,32
