point_id,lat,lon,bearing,arm_direction,intersection_idx
pt_000000,39.945621428668105,-75.16515566906502,180,0,0
pt_000001,39.94556494287393,-75.16508645693212,270,90,0
pt_000002,39.94551167094636,-75.16515984437147,0,180,0
pt_000003,39.94556815669633,-75.16522905651112,90,270,0
pt_000004,39.94370860945143,-75.16542161372763,180,0,1
pt_000005,39.94365212381764,-75.1653524033224,270,90,1
pt_000006,39.94359885171513,-75.16542578848689,0,180,1
pt_000007,39.94365533730472,-75.16549499889888,90,270,1
pt_000008,39.94414107056354,-75.16533003875585,180,0,2
pt_000009,39.944084584874524,-75.16526082798616,270,90,2
pt_000010,39.94403131283172,-75.16533421368963,0,180,2
pt_000011,39.944087798476524,-75.16540342446606,90,270,2
pt_000012,39.944711282904834,-75.16520167902236,180,0,3
pt_000013,39.94465479713846,-75.16513246777848,270,90,3
pt_000014,39.94460152517925,-75.16520585419855,0,180,3
pt_000015,39.944658010901385,-75.16527506544918,90,270,3
pt_000016,39.9456190535048,-75.16499686844215,180,0,4
pt_000017,39.94556256761503,-75.16492765644372,270,90,4
pt_000018,39.94550929578916,-75.16500104400505,0,180,4
pt_000019,39.945565781634755,-75.16507025601022,90,270,4
pt_000020,39.94666541175911,-75.16477326366963,180,0,5
pt_000021,39.94660892573455,-75.16470405079104,270,90,5
pt_000022,39.94655565405447,-75.1647774396581,0,180,5
pt_000023,39.946612140034816,-75.16484665254343,90,270,5
pt_000024,39.94703507818011,-75.16471110606449,180,0,6
pt_000025,39.9469785921181,-75.16464189286094,270,90,6
pt_000026,39.94692532047874,-75.16471528217609,0,180,6
pt_000027,39.946981806496524,-75.16478449538639,90,270,6
pt_000028,39.94626017259851,-75.1619326774544,180,0,7
pt_000029,39.94620368486341,-75.16186346735067,270,90,7
pt_000030,39.946150415002016,-75.16193685800742,0,180,7
pt_000031,39.9462069026929,-75.16200606811793,90,270,7
pt_000032,39.94557572388122,-75.16207955352655,180,0,8
pt_000033,39.94551923623464,-75.162010343998,270,90,8
pt_000034,39.94546596627748,-75.16208373380017,0,180,8
pt_000035,39.94552245387988,-75.16215294333549,90,270,8
pt_000036,39.94526397655896,-75.16215012421648,180,0,9
pt_000037,39.9452074889549,-75.16208091494686,270,90,9
pt_000038,39.94515421895179,-75.16215430435689,0,180,9
pt_000039,39.94521070651167,-75.16222351363328,90,270,9
pt_000040,39.94506486830606,-75.16058124173112,180,0,10
pt_000041,39.94500837975727,-75.16051203396889,270,90,10
pt_000042,39.944955110758734,-75.16058542439404,0,180,10
pt_000043,39.94501159926333,-75.16065463216304,90,270,10
pt_000044,39.94470386085648,-75.16065251000374,180,0,11
pt_000045,39.94464737235063,-75.16058330255001,270,90,11
pt_000046,39.94459410330558,-75.16065669252929,0,180,11
pt_000047,39.944650591767235,-75.16072589998977,90,270,11
pt_000048,39.944612888912495,-75.16067822261284,180,0,12
pt_000049,39.94455640042217,-75.1606090152304,270,90,12
pt_000050,39.94450313136043,-75.16068240509125,0,180,12
pt_000051,39.94455961980657,-75.16075161248044,90,270,12
pt_000052,39.943002988718234,-75.15977989072718,180,0,13
pt_000053,39.94294649968717,-75.15971068573174,270,90,13
pt_000054,39.942893231197054,-75.15978407455783,0,180,13
pt_000055,39.942949720183954,-75.15985327956004,90,270,13
pt_000056,39.94546068078339,-75.15645620536789,180,0,14
pt_000057,39.945404189750626,-75.15638700063256,270,90,14
pt_000058,39.94535092339564,-75.15646039471982,0,180,14
