point_id,lat,lon,bearing,arm_direction,intersection_idx
pt_000000,39.95420018692071,-75.15616191443428,180,0,0
pt_000001,39.95414369571047,-75.15609270103948,270,90,0
pt_000002,39.954090429565674,-75.15616610480068,0,180,0
pt_000003,39.95414692073171,-75.15623531820225,90,270,0
pt_000004,39.954538518293205,-75.15609117120566,180,0,1
pt_000005,39.95448202704036,-75.15602195752496,270,90,1
pt_000006,39.95442876094176,-75.15609536170726,0,180,1
pt_000007,39.95448525215039,-75.15616457539474,90,270,1
pt_000008,39.95360963612335,-75.15629171481844,180,0,2
pt_000009,39.95355314499127,-75.15622250191745,270,90,2
pt_000010,39.953499878761804,-75.15629590493869,0,180,2
pt_000011,39.95355636984972,-75.15636511784646,90,270,2
pt_000012,39.953524121462735,-75.15560012025239,180,0,3
pt_000013,39.953467629914186,-75.15553090801369,270,90,3
pt_000014,39.95341436412759,-75.15560431148484,0,180,3
pt_000015,39.95347085563194,-75.15567352373031,90,270,3
pt_000016,39.953411335715664,-75.1547162916947,180,0,4
pt_000017,39.953354843634926,-75.15464708030598,270,90,4
pt_000018,39.95330157841425,-75.15472048434833,0,180,4
pt_000019,39.95335807045081,-75.15478969574383,90,270,4
pt_000020,39.955344083008065,-75.15514158160256,180,0,5
pt_000021,39.955287591183485,-75.15507236789075,270,90,5
pt_000022,39.95523432569528,-75.15514577368826,0,180,5
pt_000023,39.95529081747565,-75.15521498740686,90,270,5
pt_000024,39.95544238308384,-75.15589415413449,180,0,6
pt_000025,39.95538589171242,-75.1558249396966,270,90,6
pt_000026,39.95533262574233,-75.15589834501017,0,180,6
pt_000027,39.95538911706956,-75.15596755945485,90,270,6
pt_000028,39.955247130105256,-75.15431647752317,180,0,7
pt_000029,39.95519063778385,-75.15424726459636,270,90,7
pt_000030,39.95513737282402,-75.15432067093616,0,180,7
pt_000031,39.95519386510122,-75.15438988386973,90,270,7
pt_000032,39.95726954769306,-75.15548310983814,180,0,8
pt_000033,39.9572130560743,-75.15541389388018,270,90,8
pt_000034,39.95715979037227,-75.15548730149078,0,180,8
pt_000035,39.95721628194685,-75.15555651745551,90,270,8
pt_000036,39.956081829473085,-75.15575424313816,180,0,9
pt_000037,39.95602533801749,-75.15568502816502,270,90,9
pt_000038,39.95597207213868,-75.15575843427939,0,180,9
pt_000039,39.956028563550085,-75.1558276492593,90,270,9
pt_000040,39.95746665655973,-75.15708116858374,180,0,10
pt_000041,39.95741016590326,-75.15701195109578,270,90,10
pt_000042,39.95735689917795,-75.15708535766616,0,180,10
pt_000043,39.95741338979023,-75.15715457516089,90,270,10
pt_000044,39.9570525593734,-75.15717398990833,180,0,11
pt_000045,39.956996068772774,-75.15710477276518,270,90,11
pt_000046,39.956942801986926,-75.15717817881523,0,180,11
pt_000047,39.95699929254336,-75.15724739596516,90,270,11
pt_000048,39.9568783197279,-75.15720038985457,180,0,12
pt_000049,39.956821829143145,-75.15713117286703,270,90,12
pt_000050,39.95676856233995,-75.15720457870808,0,180,12
pt_000051,39.95682505288048,-75.15727379570238,90,270,12
pt_000052,39.95682255165235,-75.15677339149924,180,0,13
pt_000053,39.95676606081049,-75.15670417492365,270,90,13
pt_000054,39.95671279428068,-75.1567775810393,0,180,13
pt_000055,39.95676928507835,-75.15684679762164,90,270,13
pt_000056,39.95626374235459,-75.15733263226907,180,0,14
pt_000057,39.95620725184942,-75.15726341579784,270,90,14
pt_000058,39.95615398495989,-75.157336820871,0,180,14
pt_000059,39.956210475420875,-75.15740603734899,90,270,14
pt_000060,39.9562061525463,-75.15690578097453,180,0,15
pt_000061,39.956149661784096,-75.15683656491697,270,90,15
pt_000062,39.9560963951679,-75.15690997026263,0,180,15
pt_000063,39.9561528858859,-75.15697918632695,90,270,15
pt_000064,39.954679561164866,-75.15720940752172,180,0,16
pt_000065,39.95462307058539,-75.1571401927673,270,90,16
pt_000066,39.954569803770745,-75.15721359622508,0,180,16
pt_000067,39.95462629430602,-75.15728281098629,90,270,16
pt_000068,39.9546008446115,-75.1565878970736,180,0,17
pt_000069,39.954544353657774,-75.15651868291627,270,90,17
pt_000070,39.95449108724108,-75.1565920867764,0,180,17
pt_000071,39.95454757815061,-75.15666130094051,90,270,17
