point_id,lat,lon,bearing,arm_direction,intersection_idx
pt_000000,39.94294971163457,-75.14364165115977,180,0,0
pt_000001,39.94289321288645,-75.14357245963868,270,90,0
pt_000002,39.94283995473561,-75.14364586105992,0,180,0
pt_000003,39.94289645343953,-75.14371505258784,90,270,0
pt_000004,39.9431514922646,-75.1452433603415,180,0,1
pt_000005,39.94309499448079,-75.14517416728283,270,90,1
pt_000006,39.943041735304156,-75.14524756766643,0,180,1
pt_000007,39.9430982330438,-75.1453167607319,90,270,1
pt_000008,39.942886937133856,-75.15053888257358,180,0,2
pt_000009,39.94283044253842,-75.15046968538061,270,90,2
pt_000010,39.942777179968324,-75.15054308132677,0,180,2
pt_000011,39.94283367451956,-75.15061227852652,90,270,2
pt_000012,39.942404042224844,-75.15065079395653,180,0,3
pt_000013,39.94234754769687,-75.15058159716234,270,90,3
pt_000014,39.94229428505393,-75.15065499249908,0,180,3
pt_000015,39.9423507795377,-75.15072418930005,90,270,3
pt_000016,39.94115759152011,-75.14503290307312,180,0,4
pt_000017,39.94110109360987,-75.14496371222022,270,90,4
pt_000018,39.94104783456343,-75.14503711061461,0,180,4
pt_000019,39.94110433242943,-75.1451063014743,90,270,4
pt_000020,39.94103446812688,-75.14406091965597,180,0,5
pt_000021,39.94097796963147,-75.14399172973678,270,90,5
pt_000022,39.940924711207494,-75.14406512876012,0,180,5
pt_000023,39.94098120965868,-75.1441343186861,90,270,5
pt_000024,39.944187747155624,-75.15349159725001,180,0,6
pt_000025,39.944131254337876,-75.15342239627664,270,90,6
pt_000026,39.944077989879155,-75.15349579131313,0,180,6
pt_000027,39.94413448265269,-75.1535649922933,90,270,6
pt_000028,39.94384264667927,-75.15518637628628,180,0,7
pt_000029,39.943786154882055,-75.15511717425512,270,90,7
pt_000030,39.943732889336715,-75.15519056758998,0,180,7
pt_000031,39.94378938108974,-75.15525976962793,90,270,7
pt_000032,39.944800735362826,-75.15336539300937,180,0,8
pt_000033,39.94474424246902,-75.15329619151652,270,90,8
pt_000034,39.944690978092616,-75.15336958731422,0,180,8
pt_000035,39.944747470942204,-75.15343878881384,90,270,8
pt_000036,39.94500530608472,-75.15492811660158,180,0,9
pt_000037,39.944948814131855,-75.15485891360082,270,90,9
pt_000038,39.94489554875475,-75.15493230839427,0,180,9
pt_000039,39.94495204066342,-75.15500151140179,90,270,9
pt_000040,39.943846110466744,-75.15447841579086,180,0,10
pt_000041,39.94378961824324,-75.15440921434488,270,90,10
pt_000042,39.94373635315148,-75.15448260823857,0,180,10
pt_000043,39.943792845330776,-75.15455180969134,90,270,10
pt_000044,39.94372818335088,-75.15359593876,180,0,11
pt_000045,39.94367169059602,-75.153526738168,270,90,11
pt_000046,39.94361842606937,-75.1536001326262,0,180,11
pt_000047,39.943674918780005,-75.153669333225,90,270,11
pt_000048,39.943519248551276,-75.15202738732056,180,0,12
pt_000049,39.94346275485201,-75.15195818824571,270,90,12
pt_000050,39.943409491329746,-75.15203158370798,0,180,12
pt_000051,39.94346598498483,-75.15210078278962,90,270,12
pt_000052,39.94339262240226,-75.154573997321,180,0,13
pt_000053,39.943336130236375,-75.15450479625747,270,90,13
pt_000054,39.9432828650823,-75.15457818958629,0,180,13
pt_000055,39.943339357203996,-75.15464739065659,90,270,13
pt_000056,39.945229635132144,-75.15327002926466,180,0,14
pt_000057,39.94517314218088,-75.1532008274142,270,90,14
pt_000058,39.94511987786659,-75.15327422375006,0,180,14
pt_000059,39.94517637077366,-75.1533434256073,90,270,14
pt_000060,39.944551589311224,-75.15341448214579,180,0,15
pt_000061,39.94449509644701,-75.1533452808659,270,90,15
pt_000062,39.944441832038564,-75.15341867635595,0,180,15
pt_000063,39.94449832485857,-75.1534878776426,90,270,15
pt_000064,39.94328251942363,-75.15369462414661,180,0,16
pt_000065,39.94322602672825,-75.1536254239265,270,90,16
pt_000066,39.9431727621373,-75.15369881782584,0,180,16
pt_000067,39.94322925478844,-75.15376801805274,90,270,16
pt_000068,39.94292429122085,-75.15376926377833,180,0,17
pt_000069,39.94286779857048,-75.15370006386104,270,90,17
