point_id,lat,lon,bearing,arm_direction,intersection_idx
pt_000000,39.98962805959061,-75.12596397916197,180,0,0
pt_000001,39.98957155021247,-75.12589475478005,270,90,0
pt_000002,39.989518303517244,-75.12596822053561,0,180,0
pt_000003,39.9895748128512,-75.12603744492438,90,270,0
pt_000004,39.98937550273844,-75.12643487215641,180,0,1
pt_000005,39.98931899364357,-75.12636564764007,270,90,1
pt_000006,39.9892657466458,-75.12643911275299,0,180,1
pt_000007,39.98932225569647,-75.12650833727619,90,270,1
pt_000008,39.98912860852247,-75.1268865535179,180,0,2
pt_000009,39.98907209969931,-75.12681732887737,270,90,2
pt_000010,39.98901885241132,-75.12689079336886,0,180,2
pt_000011,39.989075361190274,-75.12696001801626,90,270,2
pt_000012,39.98886681337053,-75.12737396600203,180,0,3
pt_000013,39.98881030484058,-75.12730474122272,270,90,3
pt_000014,39.98875705723941,-75.12737820504863,0,180,3
pt_000015,39.98881356572515,-75.12744742983479,90,270,3
pt_000016,39.988549896496444,-75.12500041865525,180,0,4
pt_000017,39.9884933865376,-75.12493119617471,270,90,4
pt_000018,39.98844014045653,-75.1250046615193,0,180,4
pt_000019,39.988496650371154,-75.12507388400668,90,270,4
pt_000020,39.98854019373504,-75.12794412619714,180,0,5
pt_000021,39.9884836855481,-75.12787490127631,270,90,5
pt_000022,39.988430437580526,-75.12794836430162,0,180,5
pt_000023,39.98848694572329,-75.12801758922929,90,270,5
pt_000024,39.98830127481374,-75.1254756046964,180,0,6
pt_000025,39.988244765140784,-75.12540638207386,270,90,6
pt_000026,39.988191518754434,-75.1254798467767,0,180,6
pt_000027,39.9882480283832,-75.12554906940612,90,270,6
pt_000028,39.988237186759704,-75.1285038484115,180,0,7
pt_000029,39.988180678909515,-75.12843462333375,270,90,7
pt_000030,39.988127430582324,-75.12850808559216,0,180,7
pt_000031,39.988183938388325,-75.12857731067676,90,270,7
pt_000032,39.988055038363186,-75.12595612430462,180,0,8
pt_000033,39.987998528979304,-75.12588690153318,270,90,8
pt_000034,39.98794528228422,-75.12596036559272,0,180,8
pt_000035,39.988001791623915,-75.12602958837103,90,270,8
pt_000036,39.987804145972135,-75.12644306007262,180,0,9
pt_000037,39.9877476368812,-75.12637383715166,270,90,9
pt_000038,39.98769438987332,-75.12644730055781,0,180,9
pt_000039,39.987750898920055,-75.1265165234856,90,270,9
pt_000040,39.98758787616589,-75.12415997255671,180,0,10
pt_000041,39.987531365700576,-75.12409075175661,270,90,10
pt_000042,39.987478120155146,-75.12416421671934,0,180,10
pt_000043,39.987534630576256,-75.12423343752629,90,270,10
