point_id,lat,lon,bearing,arm_direction,intersection_idx
pt_000000,39.960485765088755,-75.16177323084739,180,0,0
pt_000001,39.960429277258086,-75.16170400638013,270,90,0
pt_000002,39.96037600753483,-75.16177741253358,0,180,0
pt_000003,39.96043249532135,-75.1618466370076,90,270,0
pt_000004,39.95963508911691,-75.16196060106962,180,0,1
pt_000005,39.95957860139894,-75.16189137731355,270,90,1
pt_000006,39.95952533155342,-75.16196478240066,0,180,1
pt_000007,39.95958181922722,-75.1620340061635,90,270,1
pt_000008,39.95967205015215,-75.16209840660805,180,0,2
pt_000009,39.959615562517165,-75.16202918269971,270,90,2
pt_000010,39.95956229258347,-75.16210258771868,0,180,2
pt_000011,39.95961878017425,-75.16217181163378,90,270,2
pt_000012,39.95916510260239,-75.16205886371303,180,0,3
pt_000013,39.959108614943524,-75.16198964035425,270,90,3
pt_000014,39.95905534503384,-75.16206304485635,0,180,3
pt_000015,39.95911183264851,-75.1621322682219,90,270,3
pt_000016,39.95888579548789,-75.16211897844816,180,0,4
pt_000017,39.958829307865194,-75.16204975532406,270,90,4
pt_000018,39.95877603791626,-75.16212315947715,0,180,4
pt_000019,39.95883252549478,-75.16219238260801,90,270,4
pt_000020,39.95861147262718,-75.16217601085016,180,0,5
pt_000021,39.958554985038774,-75.16210678795822,270,90,5
pt_000022,39.9585017150526,-75.1621801917701,0,180,5
pt_000023,39.958558202596784,-75.16224941466884,90,270,5
pt_000024,39.95890764380218,-75.16225498577329,180,0,6
pt_000025,39.95885115626139,-75.1621857625138,270,90,6
pt_000026,39.95879788622539,-75.16225916658384,0,180,6
pt_000027,39.95885437372199,-75.16232838985007,90,270,6
pt_000028,39.95803894895441,-75.1553281086386,180,0,7
pt_000029,39.95798245724241,-75.15525889202547,270,90,7
pt_000030,39.957929191641675,-75.15533230058918,0,180,7
pt_000031,39.95798568330948,-75.15540151720907,90,270,7
pt_000032,39.95823286155634,-75.15689838837258,180,0,8
pt_000033,39.958176370789886,-75.15682917025583,270,90,8
pt_000034,39.95812310418368,-75.15690257779765,0,180,8
pt_000035,39.958179594905936,-75.15697179592117,90,270,8
pt_000036,39.95815114712943,-75.16241221779518,180,0,9
pt_000037,39.95809465968322,-75.16234299517592,270,90,9
pt_000038,39.958041389544526,-75.16241639830508,0,180,9
pt_000039,39.95809787694654,-75.1624856209311,90,270,9
pt_000040,39.95862605323175,-75.16231423816816,180,0,10
pt_000041,39.9585695657266,-75.1622450151464,270,90,10
pt_000042,39.9585162956519,-75.16231841886562,0,180,10
pt_000043,39.95857278311287,-75.16238764189416,90,270,10
pt_000044,39.96176113242143,-75.1574596199415,180,0,11
pt_000045,39.96170464199343,-75.15739039776209,270,90,11
pt_000046,39.96165137503697,-75.15746380867718,0,180,11
pt_000047,39.96170786542079,-75.15753303086338,90,270,11
pt_000048,39.96159331564782,-75.15940290880846,180,0,12
pt_000049,39.961536826389946,-75.15933368518377,270,90,12
pt_000050,39.96148355818812,-75.15940709439337,0,180,12
pt_000051,39.9615400474018,-75.15947631802482,90,270,12
pt_000052,39.96127885422239,-75.15623129750789,180,0,13
pt_000053,39.96122236305468,-75.15616207684167,270,90,13
pt_000054,39.961169096883864,-75.15623548819885,0,180,13
pt_000055,39.96122558800739,-75.15630470887183,90,270,13
pt_000056,39.961208053993246,-75.15463326468983,180,0,14
pt_000057,39.96115156186327,-75.15456404542495,270,90,14
pt_000058,39.96109829671605,-75.15463745795888,0,180,14
pt_000059,39.96115478880182,-75.15470667723055,90,270,14
pt_000060,39.96124576139911,-75.15947795796528,180,0,15
pt_000061,39.9611892721864,-75.15940873463241,270,90,15
pt_000062,39.96113600393558,-75.15948214340749,0,180,15
pt_000063,39.961192493104086,-75.15955136674711,90,270,15
pt_000064,39.9610520997514,-75.15790538121445,180,0,16
pt_000065,39.96099560959171,-75.15783615938692,270,90,16
pt_000066,39.96094234234781,-75.15790956918606,0,180,16
pt_000067,39.96099883246332,-75.15797879102035,90,270,16
pt_000068,39.96087669444791,-75.15632092897594,180,0,17
pt_000069,39.960820203334094,-75.15625170864504,270,90,17
pt_000070,39.96076693710481,-75.15632511949725,0,180,17
pt_000071,39.960823428174415,-75.15639433983492,90,270,17
pt_000072,39.96090929860461,-75.15677276845332,180,0,18
pt_000073,39.960852807762855,-75.15670354771338,270,90,18
pt_000074,39.96079954124417,-75.15677695824644,0,180,18
pt_000075,39.9608560320417,-75.15684617899316,90,270,18
pt_000076,39.960808361818344,-75.15471981032323,180,0,19
pt_000077,39.960751869740406,-75.15465059139369,270,90,19
pt_000078,39.96069860453668,-75.15472400342773,0,180,19
pt_000079,39.9607550965704,-75.15479322236403,90,270,19
pt_000080,39.960737763960275,-75.15312190805969,180,0,20
pt_000081,39.96068127092019,-75.15305269053121,270,90,20
pt_000082,39.96062800674001,-75.15312610374208,0,180,20
pt_000083,39.96068449973588,-75.15319532127735,90,270,20
pt_000084,39.96075685462225,-75.15362375184685,180,0,21
pt_000085,39.96070036188435,-75.15355453388149,270,90,21
pt_000086,39.96064709738268,-75.15362794671942,0,180,21
pt_000087,39.960703590076385,-75.15369716469158,90,270,21
pt_000088,39.96077991580631,-75.15957819340234,180,0,22
pt_000089,39.96072342665388,-75.15950897046089,270,90,22
pt_000090,39.9606701583376,-75.15958237865387,0,180,22
pt_000091,39.960726647445846,-75.15965160160206,90,270,22
pt_000092,39.96024843437761,-75.1548442053936,180,0,23
pt_000093,39.96019194237451,-75.15477498693127,270,90,23
pt_000094,39.9601386770896,-75.15484839826254,0,180,23
pt_000095,39.96019516904852,-75.15491761673167,90,270,23
pt_000096,39.96032897545212,-75.15635641199715,180,0,24
pt_000097,39.96027248435959,-75.15628719219497,270,90,24
pt_000098,39.96021921810609,-75.1563606024273,0,180,24
pt_000099,39.96027570915443,-75.15642982223628,90,270,24
pt_000100,39.960533547018635,-75.1580148261322,180,0,25
pt_000101,39.96047705692476,-75.15794560474214,270,90,25
pt_000102,39.96042378960935,-75.15801901389496,0,180,25
pt_000103,39.960480279659045,-75.15808823529179,90,270,25
pt_000104,39.95875472710587,-75.1503369785423,180,0,26
pt_000105,39.95869823238866,-75.15026776535113,270,90,26
pt_000106,39.958644969987475,-75.15034117860257,0,180,26
pt_000107,39.95870146466048,-75.15041039180053,90,270,26
pt_000108,39.95876916530221,-75.15201731018597,180,0,27
pt_000109,39.95871267159676,-75.15194809558244,270,90,27
pt_000110,39.95865940811903,-75.15202150753177,0,180,27
pt_000111,39.9587159017803,-75.15209072214208,90,270,27
pt_000112,39.958073971876146,-75.14882104753887,180,0,28
pt_000113,39.95801747624613,-75.14875183630232,270,90,28
pt_000114,39.957964214814396,-75.14882525000671,0,180,28
pt_000115,39.958020710400206,-75.14889446125005,90,270,28
pt_000116,39.9581816062351,-75.15044196096436,180,0,29
pt_000117,39.958125111581055,-75.15037274826987,270,90,29
pt_000118,39.958071849111086,-75.15044616081953,0,180,29
pt_000119,39.95812834372093,-75.15051537352078,90,270,29
pt_000120,39.96019878166013,-75.15364610522658,180,0,30
