point_id,lat,lon,bearing,arm_direction,intersection_idx
pt_000000,39.956583559140824,-75.16498905866673,180,0,0
pt_000001,39.95652707324625,-75.1649198355021,270,90,0
pt_000002,39.95647380145278,-75.16499323491621,0,180,0
pt_000003,39.95653028730315,-75.16506245808758,90,270,0
pt_000004,39.956637759744964,-75.16549470082734,180,0,1
pt_000005,39.9565812741549,-75.16542547718697,270,90,1
pt_000006,39.95652800203766,-75.16549887626307,0,180,1
pt_000007,39.95658448758352,-75.16556809991017,90,270,1
pt_000008,39.95526973708192,-75.16957043168712,180,0,2
pt_000009,39.95521325394625,-75.16950120605168,270,90,2
pt_000010,39.955159979214706,-75.16957460045282,0,180,2
pt_000011,39.95521646230617,-75.16964382609503,90,270,2
pt_000012,39.95545815003821,-75.171134172591,180,0,3
pt_000013,39.95540166784431,-75.17106494546317,270,90,3
pt_000014,39.95534839211159,-75.1711383388414,0,180,3
pt_000015,39.9554048742613,-75.17120756597596,90,270,3
pt_000016,39.95807299203064,-75.1769772918535,180,0,4
pt_000017,39.95801651335614,-75.17690805720169,270,90,4
pt_000018,39.957963233887554,-75.17698144882205,0,180,4
pt_000019,39.95801971251784,-75.17705068348059,90,270,4
pt_000020,39.958181632287456,-75.17787528731547,180,0,5
pt_000021,39.95812515415385,-75.17780605180619,270,90,5
pt_000022,39.95807187411036,-75.17787944283953,0,180,5
pt_000023,39.958128352199786,-75.17794867835552,90,270,5
pt_000024,39.963258239665834,-75.16783033406604,180,0,6
pt_000025,39.963201755483276,-75.16776110173518,270,90,6
pt_000026,39.963148481887366,-75.16783450613416,0,180,6
pt_000027,39.96320496602574,-75.16790373847174,90,270,6
pt_000028,39.96305589416422,-75.16625189126307,180,0,7
pt_000029,39.962999409031035,-75.16618266045126,270,90,7
pt_000030,39.96294613644567,-75.16625606586966,0,180,7
pt_000031,39.96300262153467,-75.16632529668824,90,270,7
pt_000032,39.96323194353191,-75.17106544058102,180,0,8
pt_000033,39.96317546129765,-75.17099620558645,270,90,8
pt_000034,39.963122185629416,-75.17106960741931,0,180,8
pt_000035,39.96317866781948,-75.1711388424206,90,270,8
pt_000036,39.96285711761862,-75.16468335093836,180,0,9
pt_000037,39.962800631540816,-75.16461412163368,270,90,9
pt_000038,39.96274735995971,-75.16468752806759,0,180,9
pt_000039,39.96280384599333,-75.16475675737901,90,270,9
pt_000040,39.963032622231864,-75.1694918771013,180,0,10
pt_000041,39.962976139049886,-75.16942264361859,270,90,10
pt_000042,39.96292286438905,-75.16949604647037,0,180,10
pt_000043,39.962979347526826,-75.16956527995983,90,270,10
pt_000044,39.963082570502586,-75.1747016419334,180,0,11
pt_000045,39.96302609045826,-75.17463240406714,270,90,11
pt_000046,39.962972812460514,-75.17470580288614,0,180,11
pt_000047,39.96302929246063,-75.17477504075912,90,270,11
pt_000048,39.96269070369854,-75.17418680109981,180,0,12
pt_000049,39.9626342233441,-75.1741175640612,270,90,12
pt_000050,39.96258094567504,-75.17419096286058,0,180,12
pt_000051,39.96263742598533,-75.1742601999059,90,270,12
pt_000052,39.96256233346567,-75.17318402249926,180,0,13
pt_000053,39.962505852507235,-75.17311478642543,270,90,13
pt_000054,39.96245257548014,-75.1731881858727,0,180,13
pt_000055,39.9625090563944,-75.17325742195325,90,270,13
pt_000056,39.962320912168394,-75.17126415480237,180,0,14
pt_000057,39.96226443005363,-75.17119492057127,270,90,14
pt_000058,39.96221115425566,-75.17126832126365,0,180,14
pt_000059,39.96226763632621,-75.1713375555015,90,270,14
pt_000060,39.96194935271149,-75.16325908125486,180,0,15
pt_000061,39.9618928657758,-75.16318985406005,270,90,15
pt_000062,39.96183959510464,-75.16326326062995,0,180,15
pt_000063,39.96189608199612,-75.16333248783152,90,270,15
pt_000064,39.9613434590102,-75.16340431945237,180,0,16
pt_000065,39.96128697216189,-75.16333509275434,270,90,16
pt_000066,39.961233701396054,-75.16340849855547,0,180,16
pt_000067,39.96129018820019,-75.16347772526025,90,270,16
